class,description
3,"In the face of growing competition from Linux, Microsoft CEO Steve Ballmer delivered a four-page memo to customers on Wednesday outlining the economic and security advantages Windows has over Linux, the potential dangers of open source involving indemnification, and the intent to aggressively convince Unix shops to migrate to Windows."
1,"It #39;s official, the notorious brawl last month between the Indiana Pacers, Detroit Pistons and some fans has resulted in criminal charges."
0,"Established Shiite parties and powerful upstarts are feuding, causing their leading cleric to try to pull them together to ensure that the Shiites clearly dominate the new government."
2,Sydney - The head of James Hardie Industries has resigned with a payout of \$6.5 million (R40.8 million) in the aftermath of a scandal over the building products group #39;s efforts to dodge its liabilities to asbestos victims.
3,&lt;strong&gt;Episode 29&lt;/strong&gt; Or should that be 'Technology Centre'?
3,PalmOne has introduced the Tungsten T5 handheld with 256MB of flash memory aimed at physicians and healthcare professionals. The Tungsten T5 handheld #39;s flash memory protects information even if the device 
0,Australians voted today in an election which offered the choice between a conservative government that unreservedly backs the United States and its Iraq war and a Labour opposition seeking stronger ties in Asia.
0,AFP - Writer Kitty Kelley has accused the White House of putting pressure on her and the US media over the new biography on the family of President George W. Bush
1,"While all the buzz at the rainy US Open is about the need for instant replay, don #39;t hold your breath. Replay won #39;t be coming to an umpire chair near you anytime soon."
2," LUXEMBOURG (Reuters) - Six Hollywood studios have settled  charges that they curtailed price competition in the sale of  films to pay-television channels in the European Union, the  European Commission announced on Tuesday."
1,"London, England (Sports Network) - Chelsea has told Adrian Mutu his services are no longer needed at the club after testing positive for cocaine use."
0,"Iraqi Prime Minister Iyad Allawi gives a keynote speech on government policy and the challenges facing Iraq before its elections to members of the Iraqi National Assembly in Baghdad, October 18."
0,"WASHINGTON - The House ethics committee Wednesday criticized House Majority Leader Tom DeLay for conduct that appeared to link political donations to legislation and for improperly contacting U.S. aviation authorities for political purposes, House sources said Wednesday..."
1,"Sam Cassell and the Minnesota Timberwolves apparently are back on good terms. The veteran guard reported for yesterday afternoon's practice after skipping the team's media day and first day of workouts earlier in the week. Cassell, 34, was unhappy about not getting a contract extension."
1,"CHELSEA meet their nouveau riche counterparts from Russia tonight, but Jos Mourinhos desire for a compact squad has left him with a lack of strength up front for the Champions League encounter with CSKA Moscow."
3,An Indian Institute of Technology professor--and open-source evangelist--discusses the role of Linux and open source in India. By Larry Greenemeier.
3,"SEATTLE - Linux, the fast-growing alternative to Windows and other operating systems, will become a \$35 billion market by 2008, technology research firm IDC said Wednesday."
0,"UK Prime Minister Tony Blair called for the European Union to develop the capability by next year to deploy troops to Africa within 10 days as part of plans to fight poverty, disease and war in the region."
3,"SEPTEMBER 20, 2004 (COMPUTERWORLD) - At PeopleSoft Inc. #39;s Connect 2004 conference in San Francisco this week, the software vendor is expected to face questions from users about its ability to fend off Oracle Corp."
2,"VANCOUVER (CP) - International Forest Products is muscling aside other bidders for Riverside Forest Products, offering \$396 million in a deal endorsed by Riverside #39;s board that would create the world #39;s seventh-largest lumber producer."
1,"AP - Terrell Owens' impact is easy to see in the statistics, where the big-gain catches and flashy touchdowns have often led to regular-season wins."
3,Discs would offer 100 times the capacity of today's DVDs--but when will they be available?
1,"Pro Bowl linebacker LaVar Arrington underwent arthroscopic surgery in his right knee for a lateral meniscus tear yesterday and will probably be out 2-4 weeks, leaving the Washington Redskins, the league's top-ranked defense, without one of its most dangerous players."
0,Canadian Press - WASHINGTON (CP) - President George W. Bush left early Tuesday for his first official visit to Canada since he was re-elected in an effort to forge friendlier ties.
3,"In lieu of facing a court judgment of possibly more than US\$1 billion, Sun Microsystems has agreed to pay \$92 million to settle a long-running patent infringement case with Eastman Kodak."
3,"November 22, 2004 - It was, of course, inevitable: given the success (both in excellence of design and pure sales) of The Sims 2, not to mention that it #39;s the sequel to the biggest-selling PC game ever, Electronic Arts was going to give us expansions."
2,"The sounds of the holiday season are a joyous cacophony of loving banter, caroling and children #39;s laughter. Thanks to the classic film  quot;It #39;s a Wonderful Life, quot; everyone knows that every time a bell rings, an angel gets its wings."
3,"Man became the world #39;s alpha species thanks to his outsized brain, according to the view that has dominated anthropology for decades."
2,"By Andrew Balls, James Harding and Christopher Swann in Washington. US business has little appetite for fundamental tax reform, seeing deficit reduction and government entitlement programmes as priorities for President George W Bush #39;s second-term agenda."
3,AFP - Mobile telephone operator mmO2 raised its forecasts for British revenue growth but would not be drawn on an exact date for the launch of third-generation services in its domestic market.
3,"Archos has turned up the heat in the portable entertainment arena by announcing the 20GB Gmini400, a \$400 digital audio player with a 2.2-inch color LCD screen for watching videos and viewing photographs."
3,Google Inc. GOOG.O plans to release a version of its desktop search tool for computers running on the Mac operating system from Apple Computer Inc.
2,"NEW YORK, August 18 (New Ratings)  Google Inc has reportedly reduced its expected IPO price range to \$85-\$95 per share, from the previously expected price range of \$108-\$135 per share. The company is unlikely to price its shares until the market closes ..."
0,Australian Greens leader Bob Brown says he is astounded issues like the environment and rural and regional Australia did not rate a mention in last night #39;s debate between the Prime Minister and the Opposition leader.
0,"CLAMART, France - A senior Islamic cleric arrived in France on Wednesday to visit the bedside of the ailing Palestinian leader Yasser Arafat, Palestinian officials said."
