rating,review
2,Definitely one of those places you go when you want to get some blogging done. The setting is quite unique and the crowd is diverse. The pastries are super delicious though I shy away from crabs now a days.
4,Very fun and different flavors! Super yummy and loved that it came with a little bit of the waffle cone. Lots of options for everyone! Loved it would come back again when I come back to town.
4,"My favorite ice cream ever!!!! The only problem is that it's addicting lol Can't get enough of it. They also have ice cream for dogs, which my dog totally loves!! On Christmas time they have a flavor called ""peppermint stick"": You have to try it!!"
2,Exceptional savory and dessert selections. Absolutely the worst ordering sequence on the planet. Yes I still come once a month with my spouse but always get frustrated when it comes to ordering. Would be 5 stars if they could think a little and solve this. It's simple folks!
3,"Was in the hood and in the mood for ice cream Saw Fatty Daddy's pop up on a friend's Bookmarked list and was having dinner down the road. Worth a stop! Ice cream flavors here are cool-- Lucky Charms, Cherry Amareto, Netflix and Chill, and on and on... Very creamy and the butterfat makes for a smooth spoonful. The Cookie cups looked amazing, but we decided to skip since we were so full from dinner. Raincheck! It's a small shop with lots of staff and a good amount of sitting area. It is on the backside of a shopping area, off the major road, though. Don't panic when your nav leads you around the corner, seemingly away from where the shop should be. It's only yards away."
4,"We were in North S-Dale last night for a poker game and lost on purpose so we could get to SR before it closed. Still great, still wish it weren't so far from me. I got a scoop of Mojito and a scoop of the ever-popular basil-lime. They were great together, the mojito is very minty and sweet. The Basil lime will kick you in the pants. Interesting how we always think of basil as a savory taste, but works so well in this sweet treat. Yum. Too bad it's not in a strip mall that has more going on so they could get more business. This would be a terrific place for a little indie movie theater..."
3,I got the almond buttercrunch with a waffle cone. Ice cream was delicious. Waffle cone tasted like frosting on a cake. I wasn't a fan. My husband got the almond buttercrunch and the salted butter Carmel with a toasted homemade marshmallow. All three were amazing.
0,Staff not friendly. There's a person control door. Won't let you in event you just want to use Kiosk (note: you are next person to go in on the line)
3,cool d̩cor and ridiculous pastries. starbucks will NEVER EVER EVER be this cool
1,"Cinnamon Cherie def doesn't look like the picture. Plus cold. Plus had to be remade. Sad because i first came here and it was wonderful, today i brought my sister visiting from Miami and was embarrassed. Not only was everything slow, the drinks were cold, her same drink for here was given in a Togo cup. We asked for our croissants warmed and that was not to the servers liking. Just uncomfortable experience today."
2,"For me, it's the story behind Christina Tosiand her legacy she has made the food world. Yes, it's expensive af for a slice and is very questionable for non-foodies. However, highly recommend Chef's Table on Netflix (Season 4, Ep 1) before getting something from here. The original store is in NYC so this one does not have the same magic, but is good when you are craving some of her classic desserts and you happen to be in Las Vegas. We were celebrating my mom's birthday so I got a slice and surprised her in the hotel room. The Birthday Cake definitely hit the spot!!"
0,"Giving one star just for the ice cream itself. Came her on a Wednesday night with excitement to try the sundaes. The cashier (lady on the picture) did not greet at all. On top of that, I know I said it maybe a second late to ask for military discount... but she completely ignored me. I could tell she heard me because i was literally next to her and even leaned over to say ""excuse me do you have military discount?"" Completely ignored and finished the transaction. She looked up and I asked again and she said ""oh i already did it um.."" and did not know what to do. Asked the manager, manager was not sure what to do either. Im not even sure if they did the calculation right. But on top of that, the line got held up. THE WORKERS LITERALLY WAITED FOR EVERYONE ELSE TO GET THEIR ORDERS THEN MADE OUR ORDERS!! It seemed like they were upset that we held up the line when it wasn't our fault at all!! WTF. My brother was medically discharged from an accident being in the military. Fuck yeah I want our discount Very bad service tbh. The manager was the worst manager I had ever met. UPDATE: we were about to post our ice creams and guess what?! The manager gave us the cups with no Ghirardelli wording/logos wow what a petty manager. I hope he's new because he did not know how to be a manager at all."
3,"Had the mint chocolate chip today, very fresh tasting mint, I would have preferred a little more chocolate. I still prefer the Salty Carmel, and have discovered that they sell their ice cream at Whole Foods so I can get some back home ;)"
3,Yum Stopped in for an after dinner treat with the fam. I had the S'mores sundae. The marshmallow fluff is AMAZING! The kiddos each had a scoop of the mint cookies and cream and they loved it. The shop is very small but there is plenty of seating out back. It was cold last night but there were plenty of heaters to keep us warm while we enjoyed our ice cream. Only 4 stars because I was not impressed by the service. The young kids behind the counter had a hard time controlling the crowd of guests.
4,Great ice cream and service. The cookie monster is the kids favorite.
3,"In the middle of the touristy LINQ part of the strip, right near the High Roller. Pretty pricey for an ice cream sundae, but big enough to share and very delicious. Got the Cookie Dough Sundae and I believe it was around $13. I've also been to the Ghirardelli in San Francisco and this one was a lot smaller and a lot less crowded - probably waited about 10 minutes for my sundae. Definitely stop in here for an afternoon or night snack after lunch or dinner!"
3,"So this is one I've been waiting for and I am excited that I get to finally review it. Ambiance: The decor is fairly the same as the ones that I have seen in California. I mean it is a franchise so no surprise there and no complaints. There's a good amount of cases for people to go to when choosing what they want to grab and the line weaves its way through. Service: Now service was good. There was a lot of people when I went so there was a bit of a wait but compared with the amount of people it definitely was not to bad. Service was fairly quick so no complaints. A girl named Kiara was our cashier and she was nice, quick, and when my mom asked if they had Taro bread she kindly offered to grab us a couple before it made its way to the cases which I did appreciate. Food: This is always the highlight. I never have any complaint and this is the same. My personal favorites are the Taro marble bread, egg tarts, and chocolate bread. The taro bread is always nice and subtle. Chocolate bread was good with some powder sugar on the top. The egg tarts are always a big one for me because the crust is always so flakey and the filling is sweet. A new favorite I've come to add is if you're looking for something on the savory side their Kale spinach danish definitely make my tummy happy. Overall, I'm glad we finally have one in our city. Only thing that I wasn't pleased with was the wait just because if you've been to other 85's then you know they're pretty quick but I'm sure they'll get faster once they fully settle in. In love and will be coming here a lot more in the future!"
3,"Cute shop, great location. It's right across the street from the 6th + liberty bus stop down town (next to CVS), which also means it's surrounded by parking garages. Right in the cultural district. I imagine it would be a great spot to grab a treat after a show at Heinz Hall or the Benedum Center. There was a small outdoor patio on the sidewalk. Not very busy this time of year, but a man with his dog was enjoying some cookie dough there, and it seems like it would be a nice place to relax when it's warmer. The shop has a wide variety of treats -- it seems like their speciality might be cookie dough, which I wasn't expecting. You can order scoops of dough or prepackaged pints like at an ice cream shop. They also have beautiful cookies and cupcakes, and (what I stopped in to try) truffles. I tried a few, but the fudge truffle and the Guinness stout truffles were my favorite. Definitely check it out!"
4,"Rose milk latte! It taste delicious, must try! We got there on the second day after grand opening and they were so kind to give us a discount as we missed their grand opening day :)"
3,"Everyone was complaining about parking, but I thought parking was really easy to find.. LOL. I got the s'mores. Should've replaced it with Vietnamese coffee ice cream because the double chocolate in the smores was so over the top chocolate! The graham crackers and marshmallows did complement the ice cream. My boyfriend got he rocky road freeze. I wish I got that because that was really good. You could taste the almonds and chocolate in it. My only negative about this place was that the ice cream melts pretty quick I would definitely come back!"
3,"Yum! The cupcake I had here was such a GOOD cupcake! My daughter and I wandered into this cute place after lunch at In 'N Out right near by. I was pretty full, but there's always room for dessert, right? I only got a mini cupcake (red velvet), but if I had the opportunity to go back, I'd get a big one. It was moist just like it should be, and the frosting for me was just perfect. The cupcakes are also very pretty to look at, and there's a nice selection of flavors. I wish I lived here so I could try them all. My daughter is more into ice cream than cupcakes, so she got a waffle cone with cookie dough. After she couldn't finish it, guess who came in to help her polish it off? It's a tough job, but someone had to do it! And man, oh MAN....the cone itself, just the cone, I'd have one of those any day. It was just a really good cone. And the ice cream was also wonderful. They have a cupcake ATM....how clever! We didn't use it, but what a great way to get a cupcake fix after hours. I love it. I'd gladly go back to Sprinkles the next time I'm in Vegas!"
4,"Homemade ice cream can't get any better than this! YUM!! I got a nerds on the moon hurricane... raspberry syrup, nerds, and vanilla ice cream blended"
4,Not a place you stumble on by accident. It's tucked away. But so worth the effort ! Delicious ice cream. Be sure to do yourself a favor and get it in the warm doughnut ! Wasn't planning on it but when the owner described it I thought why not I'm here. Glad I did. We will be back next time we are in town .
