Score,Text
4,"the cranberries are great i use them in fresh baked bread, even on chicken sandwichs!! A+++++"
4,"My wife loves this K cup and after checking prices all over , the regular delivery of Emerils was the best deal going!!"
4,"I'm not a kid, (25yrs), but my BF calls me a baby when I eat this. He is not allowed to finish the box and if I get low, I rush to the store for another box. I love that this is organic! My mom bought Frosted Flakes, Fruity Pebbles, and all that sugary stuff when I was little. I was a little sugar addict. Anyways, I've been eating this for a year, bought some of that other stuff a couple of times, but it tasted horrible. Tasted bland to me now. I'm also on medication that heightens your taste buds, and anything non-organic, has a high chemical aftertaste, including those old cereals. I will never buy anything non-organic for my kids. It's just not worth it! Also, I lived off this cereal for a week and didn't feel all gross and sick from a sugar high. What can I say, poor college student but I didn't mind. Also, this is perfect blend of peanut butter taste, I added actual peanut butter to it, and it was too much. Perfect blend! I just ate it!"
0,"THIS IS MY SECOND BAG, 1ST bag was good coffee, this bag not good by any stretch of one' imagination i'll try one more bag two out of three either way is the way i'll go."
4,"This makes excellent and aromatic tea. All you need is a tea strainer and this wonderful tea is yours. The tea leaves come a bit bunched up however, you need to do some separating. However, this is not difficult to do and the tea tastes great!"
1,"I figured I would order in bulk this time, so I ordered three packages of this item, Dark Magic K-Cups. I love the Dark Magic coffee, but it is almost expired! It arrived on 1/12/2012 and it expires on 4/1/2012. I like fresh coffee, not almost expired. This is very disappointing. I will definitely reconsider before ordering coffee from Amazon ever again."
3,"This green tea by Stash, just might be one of the best ways to get your jasmine tea fix, and your antioxidants, to boot. The scent of jasmine blossoms comes through very nicely. You can actually enjoy this tea without any sugar, though I still prefer a little bit. There were no discernible aftertastes and I'd say the caffeine kick was light. I'd certainly buy this tea again and again...pass the crab rangoons, please!"
2,"We bought the large ball for our power-chewing 30lb cattle dog mix, and this product was AWESOME for the first two weeks. She just chewed and chewed and was happy as can be, it kept her occupied for at least an hour each treat... but then she figured out how to pop the treats out (no joke, she wedges her tooth under the edge and just eases them out), now the treats barely last 15 minutes because she just chews a bit and swallows them. They're just too expensive to give her anymore. Luckily you can still shove small bits of dog food into the center, and she still plays with the ball but that game doesn't last very long either. Great product and really durable, as long as your dog doesn't outsmart it!"
4,"This Barista Prima kcup is my favorite of the four Barista Prima varieties that I've tried (House Blend, Columbian, Italian Rost & French Roast).  It has a nice dark, moderately bold flavor that creates a smooth wake-me-up in the morning.  There is no kick to it - just a even, enjoyable experience.<br /><br />My coffee preferences are medium-bold blends.  I brew a 10oz cup & this coffee maintains its flavor in this size cup.<br /><br />This is a kcup that I would put on my shelves.  Recommended.<br /><br />Disclosure:  I received this kcup in a sample variety pack sent our by Keurig to its customers."
4,"Very good, especially at sale price. Can't seem to get enough of this stuff! One caveat is that the packages require a bowl or large mug to warm in the microwave- important if you intend to eat at school at work.<br /><br />I wish they had a milder version of this product, because I can barely stand the heat about 3/4 of the way through. As it is, it beats just about any other shelf-stored microwave meal on the market."
4,"These are great!  I use them to make my own Southern-style hot sauce by putting 12 whole peppers in a blender, along with red wine vinegar and some freshly ground organic salt.  Let me put it this way:  I don't buy hot sauce in the stores, anymore!"
0,"Bought one bag for my three dogs and now have two sick dogs. Already spent $500 on vet bills for one dog and they are now on homemade chicken and rice diet. One dog is getting better, but I'm really worried about my other girl. Picked these up at Walmart and the dogs have not eaten much of it before trouble started. Listless, no appetite, pacing and panting, pain and whining. Just awful to watch our girls go through this!"
4,"Our family began a search for this oatmeal after having it served at a lovely, popular hotel.  It was not until later that we all shared the fact that we loved it so much, but by then we were home.  Many phone calls later, we discovered the name, and found it on Amazon.<br />Now that we have begun to use it, there are so many ways to use it besides the typical boring sounding oatmeal. Try it in breads, make it for a healthy desert, fruit adds lovely touches and the creaminess is one of it's hot points. You can use any kind of milk, soybean milk and the wonderful tasting almond milk. Yes, for those of you demanding instant oatmeal, have at it.  But, it seems obvious McCann's is a healthier choice all around, so the extra time is worth it.  We make large batches at night, cool it and refrigerate it in tupperware for an easy breakfast to heat in the microwave.<br />There is the unique rich nutty flavor, very fresh tasting.  It is packaged in an attractive old fashioned can that I like as it is resistant to moths and pantry pests.  My husband uses the empty cans for all sorts of organizational projects in the garage.  Please give it a try, and then explore the way you like it best."
4,"Did what they said, good price and showed up early. I buy this item regularly and this was the best service I have had. Will reMember next time"
4,this is an excellent cook and serve fat free pudding that is good for those watching their weight yet tastes good enough to serve guests!
2,"If you're a fan of darker roasts, there's not much to dislike about ""Blanc et Noir"" from Melitta -- not much that I could detect, anyway. On the other hand, there wasn't a lot to set it apart from other similarly-priced dark roasts on the market. It is a perfectly serviceable coffee I was happy to have in my rotation for a week or two. But it won't displace, say, the coffee I brought back from a recent Hawaii vacation as my weekends-and-special-occasions choice, nor did it evoke all the memories of European cafes the marketing promised. But as I said, it's not a bad choice by any means if darker beans are your thing."
4,"Very dark, near-espresso, but complex.  Some of the best K-Cups I've tried, although I'd need to do a blind test between these & Dark Magic."
3,"First thing, this does give you energy just like an energy drink. It also tastes very similar to Redbull. When I burp, it has the similar energy drink belch smell that energy drinks have for some reason. The color is not quite the same as Redbull.<br /><br />But having said all that I still find this to be an excellent value when you compare the prices of Redbull vs this mixture. At the store, Redbulls are $1.99 where as this one costs maybe $0.40 after all is said and done (cost of carbonation, syrup, shipping charged on carbonation, etc). I made that number up in my head though, did not use a calculator or even really think mathmatically about it so it is pretty much a made up cost I pulled out of the air and doesn't represent anything truthfully.<br /><br />Anyhow, I know it is a much cheaper solution, I enjoy it and am drinking some now. Meow."
4,"When you want the best in Earl Gray tea, Stash is near the top in suppliers of this universally accepted flavored tea.  We find little or no differences between the caffeinated and decaffeinated varities and as a result tend to migrate our tastes to the decaffeinated variety.  This is not a weak version but a full strength tea to console your sole.  Great going, Stash!"
4,"Quinoa is a fast cooking antioxidant rich ""whole grain"" (actually a grass) that has a fairly complete amino acid profile. Check out the Harvard School of Public Health web site where the eminent nutrition specialist, Walter Willett, puts whole grains on the second level of his evidence based nutrition pyramid along with healthy oils and after exercise.<br /><br />This is a nutty tasting uniquely colored, delicious, whole food that has a centuries old history."
3,No longer are the days of anonymous mushy pet foods.  Weruva food is a distinctly different experience for my pets from one day to the next.  Prepared in a kitchen the makes people food as well only reassures me that my cats and dog are treated as friends rather than captives.
3,These are ok. I like the sweet potato ones better and both have good fiber content.
4,"I have tried the different peanut butter brands, and Skippy creamy is BY FAR the best PB out there, either to bake with or just eat!"
0,"I ordered this product because I love the ""Cheez-It"" brand.  I tried this particular item after initial purchase at a grocery store.  I received my item in a timely manner, however it was not what I ordered.  I received the 100 Calorie Pack item instead of the requested order.  This was however one of the few times I have ordered from Amazon.com and not received my correct order."
2,"I don't really dig the flavor or texture of these snacks. It has a funny bite to it, which I'm sure is from the OJ and lacks any crunch. However, the packaging was great, came quickly, and was good quality."
0,"I was hoping that the new recipe would include more protein/fat than the original, since in my opinion, the protein/essential fatty acids that are abundant in salmon are the best reasons to feed it to a baby.  Well, I should have taken the time to research the nutritional info before purchasing, because this item actually contains less of both. If you can manage to get your baby to eat an entire pouch of this, he/she will get a mere 1 gram of protein, or 6% of the RDA for a baby, .5 grams of fat, and 50 calories.<br /><br />That makes this a nutrient poor food.  And HappyBaby a pretty despicable company."
4,"I have started making my husband smoothies with a bottle of this ginseng, maca powder, and yohimbe since he was complaining his energy levels and sex drive were low. Well...not anymore! The very first day he drank one of the smoothies I made, I kept hearing from his friends at work that he was flying around that day, asking other people to do THEIR work because he had so much energy! He also did not crash, and had plenty of energy left over for me at the end of the day. ;D"
2,"this product says 'Natural'..., but it was not until arrival that I note that besides 'almonds'; it also contains 'Palm Oil'.  This should be noted in the product advertizing."
4,"I've eaten these for a long time, and they are totally awesome, though not always easy to get hold of (they run out).  Great protein source for a busy vegan like me, plus I am a fitness trainer and workout a lot, so I need the convenient protein. Personally I think mesquite lime is the best, flavor wise, of all the Primal Strips, but they are all good.  My hubby loves the barbecue ones."
0,No aroma and tasted like cigarette ash. I think the beans were rancid when I received them since they were so close to the expiration date. Beware of low price because you get what you pay for. Old beans!
4,"We have been giving our 12 year old Yorkie the greenies for several years.  My husband found the senior version a few months ago and now our little old dog is hooked on these.  They are just soft enough for him to chew and really enjoy, and hard enough that it still takes awhile."
3,"Offset pour spout!  Why don't all these baby food pouches have this design?  It's a lot easier to use!<br /><br />These are really tasty.  Yes, I ate some.  It's sweet and a little sour (just a little), and babies love this stuff.  Particularly for veggies, this is a great idea for getting babies familiar with this kind of food.  It pleased the one who eating some now.  It's easy to dispense and the package is very easy to carry.<br /><br />The ingredients list is refreshing.  No preservatives or dyes.  The sweetness is natural, too.<br /><br />The pouches can be twist shut after you open, which is handy if you're on the go and your baby only needs a little food.  The portions can last two meals per pouch, depending on your baby.<br /><br />I think this is a great product, but it's on the expensive side, so in my opinion is a four star value."
3,These bars are light and very tasty. Worth trying and I think you will like them. Even though I like them the price and small size of the bars will stop me from future purchases.
1,"The title says it's Vanilla Bean Powder, but it is not. As mentioned in previous 1-star reviews, it is basically dairy creamer with vanilla flavoring (the most faint tasting vanilla I've tasted in a long time!). The package in the picture is not the same package you recieve. The package received has a different label, one that more adequitely and accurately depicts the product's TRUE main ingreedients.<br /><br />For what I needed it for (soy vanilla bean frap), it was okay, just not what I was expecting as a customer. I was looking for ACTUAL powdered vanilla beans, and the way it was worded (AND the vanilla bean pictured on the bag online) in this ad makes it sound like that's what is being sold. I would've given it a 1-star had I not been able to use the product in another fashion, but I was.<br /><br />1 star for the misleading wording, and 1 star for the happenstance of being able to use it in another fashion = 2 stars."
4,Such an easy way to buy calorie controlled snacks.  The arrived quickly.  So easy to take to work or when you need just an easy snack.
