text,label
What 's the meaning of the name Tatiana ?,7
Who is always trying to get the rent from Andy Capp ?,4
What is film noir ?,7
Jude Law acted in which film ?,1
What attorney-general ordered the closing of Alcatraz ?,4
What Ivy League school plays its home games at Palmer Stadium ?,5
Who used AuH2O as an election slogan ?,4
What information can you get me on Fairground Park in St. Louis,12
How many earthworms are in a single pasture ?,13
Which type of submarine was bought recently by South Korea ?,44
What fraction of a beaver 's life is spent swimming ?,38
What NFL team did Vince Lombardi end his coaching career with ?,5
What James Michener book is subtitled Spanish Travels and Reflections ?,1
Who is Nicolo Paganini ?,12
What is the correct way to mount a roll of toilet paper ?,31
Who made the first airplane that could fly ?,5
What were the achievements of Richard Nixon ?,14
How do I change a file from an ART file to a JPEG or Bitmap file ?,0
What 's the name of Jacques Cousteau 's research ship ?,44
What animal dined on bread and oysters with a carpenter ?,2
What year did Spielberg make `` Jaws '' ?,8
What soft drink would provide me with the biggest intake of caffeine ?,17
What color of Monopoly properties are landed on most often ?,19
What is a fear of crystals or glass ?,23
What 's the difference between TFT and dual-scan display ?,12
When was the slinky invented ?,8
What is a Mexican hairless ?,7
What medium is Stuart Hamblen the first singing cowboy in ?,1
"What king is satirized in the line : `` The King was in the countinghouse , counting all his money '' ?",4
What color eyes are most sensitive to light ?,19
How do you write a correct critical analysis of a poem ?,0
What are the two cities in Dicken 's `` A Tale of Two Cities '' ?,21
What are the diseases that can be cured by black cumin ?,23
What African country was founded by freed American slaves in 1847 ?,18
Who wrote the Bible ?,4
What was Darth Vader 's son named ?,4
What 1966 boob tube bomb took astronauts back to prehistoric times ?,1
What are the best ways to improve employee morale at low cost ?,31
What is the name of Joan Jett 's band ?,5
What kind of wine is Spumante ?,17
What is the name of the medical condition in which a baby is born without a brain ?,23
When did Fraze get his first patent for the pull-tab can ?,8
What two presidents of the U.S. published books of poetry ?,4
How do you look up criminal records on the Internet ?,0
How can a foreigner get a U.S. Social Security card ?,0
What is the chemical reactivity of neon ?,14
Where can stocks be traded on-line ?,14
Where can I find a lesson plan for teaching the metric system conversion to American standard ?,14
What was the effect of the Yalta Conference ?,12
What did Thomas Paine write ?,1
What colorful sea 's region does Greek legend say the Amazons lived near ?,14
How many feet are there in a fathom ?,13
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,4
What is the meaning of Jesus ?,7
How many months does a normal human pregnancy last ?,13
Who was the lawyer who represented Randy Steven Craft ?,4
What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?,4
What is the temperature for baking Peachy Oat Muffins ?,41
Name the U.S. Senate majority leader and the Speaker of the House .,4
Who portrayed George M. Cohan in 1942 's Yankee Doodle Dandy ?,4
What is the definition of a cascade ?,7
Name the operating system that runs on IBM-compatible machines .,14
"What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?",2
What is the design of the ship Titanic ?,12
What song served as the closing theme of The Johnny Cash Show ?,1
What is the chemical composition of a Barbie ?,28
What is graduate school ?,7
What African capital is named for a U.S. president ?,21
What bestselling modern poet was the co-founder of the famous City Lights Bookshop in San Francisco ?,4
What does an average daycare provider get paid in New England ?,25
Kosovo is a province of what country ?,11
"In what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?",29
What is worth seeing in Reims ?,14
What is the folklore story regarding birds ' nests and birds in Christmas trees ?,1
How can you tell when figs are ripe ?,0
What country is the largest diamond producer ?,18
What is hebephrenia ?,7
Who did Napolean defeat at Jena and Auerstadt ?,4
Who was the first woman to fly solo across the Atlantic ?,4
Whose cover is that of an employee of Universal Import and Export ?,4
What is HDLC ?,3
How high is the city of Denver ?,40
"Where was `` I have fallen , and I can 't get up '' said first ?",14
How many years is Johnnie Walker Black Label aged ?,13
How many types of lemurs are there ?,13
Who won Oscars for her roles in Gone with the Wind and A Streetcar Named Desire ?,4
What is the definition of the term `` weapons system '' ?,7
How do hermit crabs reproduce ?,0
"Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?",14
"Why do people get goosebumps when they have something emotional happen to them , like when they hear a beautiful piece of music , or see something beautiful , or get aroused by someone they love ?",9
What is the Lost Colony ?,7
"How can people from Ireland come to the U.S. , work , and then return to Ireland ?",0
What famous model was married to Billy Joel ?,4
What Caribbean island is sometimes called Little England ?,14
What are some of the significant historical events of the 1990s ?,10
In what county is Eckley Colorado ?,14
Who was the only U.S. President to wear a Nazi uniform ?,4
What hymn did John Steinbeck get his title The Grapes of Wrath from ?,1
What was unusual about Alexandra 's appearance in Josie and the Pussycats ?,12
What plants are found in an estuary ?,30
What company makes impulse hardening equipment ?,5
What are the seven deadly sins ?,12
What are the four most widely-used languages in North America ?,37
What is the name of Jamiroquai new album ?,1
What are equity securities ?,7
Who was President Cleveland 's wife ?,4
Who became president of the U.S. in 1789 ?,4
What songs were popular in 1948 ?,1
"What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?",14
What boxer 's life story is titled Raging Bull ?,4
What is a fear of insanity ?,23
What is a dental root canal ?,7
What South Vietnamese president was assassinated by his generals in 1963 ?,4
Name the largest country in South America .,18
"What woman has carried the most multiple births , twins , triplets , etc. , ?",4
What country was Brian Boru an 11th-century king of ?,18
What 's a male witch called ?,20
What London museum features a Chamber of Horrors ?,14
Who made the first surfboard ?,4
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,5
What is Latin for incompetent ?,20
Who was Picasso ?,12
How did U.S.A become involved in the Barbary Wars,0
"What were Baffin , Frobisher and Franklin looking for ?",14
Which presidents of the USA were Masons ?,4
What is the average cost for four years of medical school ?,25
