comment_text,toxic
"Wikipedia operates by sources, and does not reinterpret them as you are trying to do. 173.169.90.98",0
"""   Martin Luther King, Jr., (January 15, 1929-April 4, 1968) was born Michael Luther King, Jr., but later had his name changed to Martin. His grandfather began the family's long tenure as pastors of the Ebenezer Baptist Church in Atlanta, serving from 1914 to 1931; his father has served from then until the present, and from 1960 until his death Martin Luther acted as co-pastor. Martin Luther attended segregated public schools in Georgia, graduating from high school at the age of fifteen; he received the B. A. degree in 1948 from Morehouse College, a distinguished Negro institution of Atlanta from which both his father and grandfather had graduated. After three years of theological study at Crozer Theological Seminary in Pennsylvania where he was elected president of a predominantly white senior class, he was awarded the B.D. in 1951. With a fellowship won at Crozer, he enrolled in graduate studies at Boston University, completing his residence for the doctorate in 1953 and receiving the degree in 1955. In Boston he met and married Coretta Scott, a young woman of uncommon intellectual and artistic attainments. Two sons and two daughters were born into the family. 

 In 1954, Martin Luther King became pastor of the Dexter Avenue Baptist Church in Montgomery, Alabama. Always a strong worker for civil rights for members of his race, King was, by this time, a member of the executive committee of the National Association for the Advancement of Colored People, the leading organization of its kind in the nation. He was ready, then, early in December, 1955, to accept the leadership of the first great Negro nonviolent demonstration of contemporary times in the United States, the bus boycott described by Gunnar Jahn in his presentation speech in honor of the laureate. The boycott lasted 382 days. On December 21, 1956, after the Supreme Court of the United States had declared unconstitutional the laws requiring segregation on buses, Negroes and whites rode the buses as equals. During these days of boycott, King was arrested, his home was bombed, he was subjected to personal abuse, but at the same time he emerged as a Negro leader of the first rank. 

 In 1957 he was elected president of the Southern Christian Leadership Conference, an organization formed to provide new leadership for the now burgeoning civil rights movement. The ideals for this organization he took from Christianity; its operational techniques from Gandhi. In the eleven-year period between 1957 and 1968, King traveled over six million miles and spoke over twenty-five hundred times, appearing wherever there was injustice, protest, and action; and meanwhile he wrote five books as well as numerous articles. In these years, he led a massive protest in Birmingham, Alabama, that caught the attention of the entire world, providing what he called a coalition of conscience. and inspiring his """"Letter from a Birmingham Jail"""", a manifesto of the Negro revolution; he planned the drives in Alabama for the registration of Negroes as voters; he directed the peaceful march on Washington, D.C., of 250,000 people to whom he delivered his address, """"l Have a Dream"""", he conferred with President John F. Kennedy and campaigned for President Lyndon B. Johnson; he was arrested upwards of twenty times and assaulted at least four times; he was awarded five honorary degrees; was named Man of the Year by Time magazine in 1963; and became not only the symbolic leader of American blacks but also a world figure. 

 At the age of thirty-five, Martin Luther King, Jr., was the youngest man to have received the Nobel Peace Prize. When notified of his selection, he announced that he would turn over the prize money of $54,123 to the furtherance of the civil rights movement. 

 On the evening of April 4, 1968, while standing on the balcony of his motel room in Memphis, Tennessee, where he was to lead a protest march in sympathy with striking garbage workers of that city, he was assassinated.""",0
"It makes complete sense, Kiszla.  You're still an idiot.",1
"Dispose of Pyongyang and reunify Korea. Seoul has been the Capitol of South Korea for centuries. Pyongyang is a shadow of a puppet left over from the Cold War years. Pyongyang enslaves, starves and murders the people trapped in the north. They pitted neighbor against neighbor in a bloody coup to enslave all of Korea.Dispose of Pyongyang! Send the Kill Squad!",1
"He's talking about the American navy, pinhead.
And I doubt the pathetic Chinese navy could even beat the Canadian navy.",1
"""

 User:Mrs Gastrich 

I think it's a little suspicious that this user claims to be 's wife, thus seemingly alleviating concerns of sockpuppetry by probably using the same IP address. A problem is that  posted an RfA after merely 4 edits, which is disconcerting. 

However, your post on the page that Mrs Gastrich was a sockpuppet of God and to refer to the Bible I found inappropriate. I have since removed the offensive parts, leaving only the statement of possible sockpuppetry. I understand you may have passionate feelings about Gastrich and his involvement, but please do not deliberately publish untruths.
rs88 """,0
Your inane comment makes you look ignorant and immature.,1
"FUCKKKKKKKKKK 
FUCKKKKKKKKKK  USA  FUCKKKKKKKKKKKKKK",1
Wow you have a problem! Are you racist? Do you have a problem with Aleut people? Do you REALLY think we are that STUPID?,1
I am not a sockpuppet! 89.242.19.188,0
"Listen you knuckle heads, this has got nothing to do with race. its about our fallen and maimed soldiers. Have some respect",1
Hateful rhetoric only comes white male right wingers...don't you know anything?,1
"fwiw, I would have just responded to the post with WP:NOTFORUM.  IP-address user, this is a Talk page for improving the article, based on what reliable sources say. If you want to make arguments about how to improve the article content, you must support your claims with reliable sources - WP is not a place for people to discuss their personal opinions or original research.  Please see WP:TPG for information about how to use the Talk page.  I'll delete further postings you make that are just statements of your opinion about the topic.",0
"Protect your daughters, Minnery wants to control their reproductive organs.",1
"Tsk. Tsk.  Here you are again, acting like maybe you don't work all the time. I think maybe you were fibbing about that.

Liberals embrace intelligent change; not the kind of idiocy right wing nuts typically go for.  Exhibit A:  Trump.  The stupid, it burns. Doesn't it?",1
"""to turn me into the biggest devil who ever lived, a racist, a white supremacist, all that junk""

Turn? It is literally the entirety of his biography.",1
"""

 Last name 

Searches turn out a large ammount of varying sources listing her last name as """"Soltani"""".
86.93.230.182  """,0
I was wondering why the writer of this story didn't mention that fact about the doors. The danger was this idiot puncturing the small window above the door.,1
"Please tell me the difference between a land mine and an IED.. other than the latter being home made both kill indiscriminately and the US refuses to join the rest of the world in banning this weapon. Suck it up guys, this is what happens when we allow irrational hatred to overtake our legal responsibilities.",1
"""
 never 

I deleted all you message without reading. you are a sick and a cruel person. I would not like to see you ever again at my talk page.  
 Don't worry if you don't want to, you won't see me. Now, what you will keep seen is the problems that you do have. You got into them and are still in them since months ago. Am I not right? And there is a subtle mistake that you are making when addressing them. Curious about what it is? I will be here. Sick and cruel maybe but that is only a manifestation of being plain and true, no fictitious colors, no hidden things. Good luck with your holy war.   
OMG, how didn't I guess before. I know who you are. You left as  Dr. Jekyll, and you came back few days later as Mr. Hyde. You're really, really sick. You need to get some help. I feel sorry for you.  
 Is it really me who is sick? Maybe. Sort of a different illness as your, fortunately. Anyway, you don't want to look to what I am saying, no point to so much chitchatting. If you can really name my illnesses do so. It is useful and I don't mind.   
If you'd like to get a response at the message you left at Alison talk page, please remove it from there and re-post to you own talk page. As you rightly said Alison has nothing to do with the message that was addressed to me, and her talk page should be left alone.  
I asked you to delete it from Alison's talk page, you only copied it. Please delete it, it does not belong there, and we'll talk,  
 Well, it does belong there. It is not only a message to you, it is also a message to the other two that were there. Why would I post it there if not because it completes a story only said in half? I said to continue here because the rest seems to be going to be about me. But notice the text there hints the readers here so that if they want to read more they know here to come. If I delete that paragraph there, not only info is lost there, but also nothing links to the continuation here.   

..................................................

(copied from another place)

Sole purpose? Just look my at my user contributions. Sorry, but you are prizing yourself too much thinking that the my sole purpose is to """"help you"""". It is the other way around. Just by chance, I noticed that your problems had not stopped (since they even came to disrupt FPC). You are being a bit paranoid as you were when I reviewed one of your pictures in the most impersonal and objective way, as I always try to do. I just happens that among the things that I see, I support those that I think are right. No matter what. When I saw people doing wrong to you I condemned it. If I see you doing wrong I tell you. But not more than once. You say that I need some help. Go ahead, tell me the symptoms that you see. (In my talk page, since Alison should be annoyed with all these posts.) Abisharan (talk) 

...................................................

Common languages are all context dependent. This message is what it is within that contest. That's why I believe more in just copying.

 You are Spanish. 

You said """"edulcorantion,"""" which is close to edulcorante, or """"sugar.""""  —Preceding unsigned comment added by 71.107.144.106   
 I did. Although it is also a word in English that means the same thing as sweetening. Also chemist used for the action of rinsing a beaker with water. It is a nice word, specially if you already used sweet-ie in a previous sentence. Things sound better when you dont have to repeat words.   """,1
"""
  

Your request to be unblocked has been granted for the following reason(s):
This user is obviously a serious contributor, working simultaneously to remove the unwanted Jews from Wikipedia

Request handled by: 222.153.100.166  

 Unblocking administrator: Please check for active autoblocks on this user after accepting the unblock request.""",0
