label,content
4, Elmer Ernest Roper (June 4 1893 â November 12 1994) was a politician in Alberta Canada. He served as leader of the Alberta Co-operative Commonwealth Federation the mayor of Edmonton and a member of the Legislative Assembly of Alberta. He was also a candidate for the Canadian House of Commons.
9, Pelecanoides miokuaka is an extinct species of diving petrel of New Zealand. Described in 2007 it is known only from a single humerus bone that was discovered from early Miocene sediments of the Manuherikia Group.
2, Scott James Peterson (born December 9 1968) is an editor at WildStorm Productions an imprint of DC Comics and a writer of comic books and children's books.
7, The Grand Bras River is a river of Grenada.
11, Inside is the debut album by alternative rock musician Matthew Sweet. It was released on Sony Records in 1986.
0, Timothy Taylor is a regional brewery founded in 1858 by Timothy Taylor. Originally based in Cook Lane Keighley West Yorkshire England they moved to larger premises in 1863 at Knowle Spring where they remain to this day.
8, MarkoviÄi (Kiseljak) is a village in the municipality of Kiseljak Bosnia and Herzegovina.
1, The Shambhala School is a non-denominational private school in Halifax Nova Scotia. It employs a creative curriculum integrating both academics and art. It runs from pre-primary through grade 12.
1, Western Christian College was located in Regina Saskatchewan in Canada. It was a private Christian college associated with the Churches of Christ. Western also had a high school program which results in the overall institution being known in many cases as Western Christian College and High School.Western Christian College (WCC) was originally founded in Radville Saskatchewan. The school was also located in Weyburn Saskatchewan and Dauphin Manitoba before settling in Regina.
5, The Aero Designs Pulsar is an American homebuilt aircraft that was designed by Mark Brown and first produced by Aero Designs of San Antonio Texas introduced in 1985. When it was available the aircraft was supplied as a kit for amateur construction.The aircraft was later produced by Skystar Aircraft of Nampa Idaho and then by Pulsar Aircraft of El Monte California. Each subsequent manufacturer introduced new variants.
12, Ramadasu is a 1964 Telugu devotional biographical film. The ensemble cast film was directed by veteran Chittor V. Nagaiah who has also enacted the role Kancharla Gopanna. The blockbuster film has garnered the National Film Award for Best Feature Film in Telugu and has garnered several state awards.
13, Agile Project Management: Creating Innovative Products by Jim Highsmith discusses the management of projects using the agile software development methodology. The book has been recommended by different reviewers. The book starts off by stating that new challenges in product development require adaptive not anticipatory project management. It then introduces the reader to the basic agile values as written in the Agile Manifesto and to the six guiding principles of agile project management.
9, Godiva quadricolor is a species of sea slug a nudibranch a shell-less marine gastropod mollusc in the family Facelinidae.
5, SS Pericles was an 10925-ton ocean liner of the Aberdeen Line launched in 1907. In 1910 she went hit a rock near Cape Leeuwin in the area of rocks and islands known as the Saint Alouarn Islands with no loss of life.
8, Terka [ËtÉrka] (Ukrainian: Ð¢ÐµÑÐºÐ° Terka) is a village in the administrative district of Gmina Solina within Lesko County Subcarpathian Voivodeship in south-eastern Poland. It lies approximately 10 kilometres (6 mi) south of Solina 21 km (13 mi) south of Lesko and 88 km (55 mi) south of the regional capital RzeszÃ³w.The village has a population of 190.
11, Rain College Love â The Connect is a Tamil independent music album by Ajeesh. As the name says it all the concept of the album is how the three - Rain College and Love are connected.On 14 February 2013 being Valentine's Day the poster of the album was released in which a character a boy stands on a cloud with a guitar on his back when hearts and raindrops pour from the sky.A promo song from the album was released on YouTube on February 24 2013.
3, Owais Ahmed (Urdu: Ø§ÙÛØ³ Ø§Ø­ÙØ¯ ) is a Pakistani professional poker player from Anaheim CA. He won his first World Series of Poker bracelet at the 2011 World Series of Poker where he finished in the money in five mixed game events.
1, Manjimup Senior High School is a comprehensive public high school located in Manjimup a regional centre 307 kilometres (191 mi) south of Perth Western Australia.
13, The Bicentennial Man is a novelette in the Robot series by Isaac Asimov. It was awarded the Hugo Award and the Nebula Award for best science fiction novelette of 1976.According to the foreword in Robot Visions Asimov was approached to write a story titled Bicentennial Man for a science fiction collection along with a number of other authors who would do the same in honor of the bicentennial of the United States.
0, Aflac Incorporated /ËÃ¦flÃ¦k/ is the largest provider of supplemental insurance in the United States founded in 1955 and based in Columbus Georgia. In the United States Aflac underwrites a wide range of insurance policies but is perhaps more known for its payroll deduction insurance coverage which pays cash benefits when a policyholder has a covered accident or illness.
4, William Thomas Pine was an American politician who served as Mayor of Marlborough Massachusetts.
