Text,label
"U.S. House members ask EPA not to lower biofuels requirements NEW YORK (Reuters) - A group of 22 members of the U.S. House of Representatives asked the Environmental Protection Agency in a letter on Thursday not to lower some requirements for mixing biofuels into the country’s fuel supply, but also not to let ethanol exports qualify for renewable fuel credits, according to a copy of the letter obtained by Reuters. The members of Congress are part of a bipartisan voting bloc dedicated to supporting the biofuels industry called the House Biofuels Caucus. They represent districts in states such as Iowa and Illinois where farmers grow corn for ethanol and other biofuels. They urged the agency to increase biomass-based biodiesel requirements and not to decrease the amount of advanced biofuels required to be added to the fuel supply.  “Our farmers and biofuels producers need greater certainty from the EPA,” the letter said, adding recent proposals the agency said it was considering “create unnecessary angst.”  “We will respond to the House Biofuels Caucus through the proper channel,” said EPA spokesman Jahan Wilcox in an email to Reuters. Midwestern politicians and industry representatives have been pressuring the EPA not to reduce renewable fuel standards.  Fuel companies, meanwhile, want to change certain rules for complying with the standards to make it easier and cheaper for them to meet their renewable fuel requirements. They want ethanol exports to count as tradable credits toward their renewable fuel requirements, a proposal the Biofuels Caucus members condemned. “This proposition would upend infrastructure investments needed to blend ethanol into our fuel supply and pick winners and losers in a manner inconsistent with the Congressional intent of the Renewable Fuel Standard,” they wrote.  Iowa’s Governor Kim Reynolds said that President Donald Trump told her on a phone call on Wednesday that he was committed to renewable fuels, though advocates say they won’t be satisfied until the EPA reverses recent steps it has taken to lower renewable fuel requirements.   Last month, the EPA said it was looking to cut 2018 biodiesel blending requirements, roiling markets and drawing criticism from the country’s farm belt. In July, it proposed cutting total volumes of all renewable fuels use for next year.     ",1
" Ted Cruz Awkwardly Tries To Say Trump’s Not A Liar, But Fails Miserably (VIDEO) During the Republican primaries, the biggest feud (if you don t include Donald Trump and Megyn Kelly) seemed to be between Ted Cruz and the man who is now the President Elect. Now, Cruz is one of Trump s strongest supporters. Well, he seems to be one of Trump s strongest supporters, except for the fact that Cruz can t seem to make himself say that Trump isn t a liar.In May, Cruz went on a rant calling Trump a  pathological liar,  after Trump accused Cruz  father of being involved in the assassination of John F. Kennedy. Yes, that a how insane the election of 2016 got. (Trump) doesn t know the difference between truth and lies, he lies practically every word that comes out of his mouth. Here s that somewhat surreal exchange between Cruz and the media from May:Just to recap: Trump insults not just his rival, but his rival s family. Cruz calls Trump a  pathological liar,  and now Cruz is a Trump supporter. Well, they do say politics makes strange bedfellows.Still, it appears Cruz hasn t quite let it go. On Sunday s This Week, Cruz was asked,  Do you still think Donald Trump is a liar? Cruz had no answer, other than to say,  You know, I m not going to re-litigate the past. I m going to focus on the future. I m going to focus on what s in front of us. Here s the video:While it s become the stereotype that politicians lack principles, it s apparent that for many in the Republican party, principles sell for cheap. Cruz has long been among Trump s most vocal critics, and suddenly, none of that matters because with Trump a.) Cruz sees an opportunity for a cabinet position, and b.) Cruz thinks his dream of a theocratic government will finally come true under Trump. Cruz might be right on both counts.Featured image via video screen capture",0
" The GOP Has A Plan For Obamacare: Repeal And Let The Sh*t Hit The Fan Now that they have someone they think is their lord and savior in the White House, House Republicans are starting to come together on their plans to get rid of the Affordable Care Act. They ve been bleating  repeal and replace  for six years, but the  replace  part of that has always been a secondary concern (as in, they never really tried to work on it). Now they re solidifying that with a  repeal and delay  plan.Or, rather,  repeal and let the sh*t hit the fan  plan. They still have no plan for replacing it, but they just have to repeal now so that s what they re going to do. Then they ll delay actually nullifying it because they think that will keep the whole of the country from descending a dark staircase into chaotic healthcare hell. Rep. Kevin Brady, chairman of the House Ways and Means Committee, even said: We are not going to rip health care away from Americans. We will have a transition period so Congress can develop the right policies and the American people can have time to look for better health care options. Because Congress can totally agree on everything that needs to happen for Americans to have decent access to decent healthcare. Their delusion on this is deep and complex, too. House Majority Leader Kevin McCarthy believes that, once it s officially repealed, fewer people will want to play politics and more will be willing to come to the table and support a Republican solution.Har de har har. The GOP s very narrow majority in the Senate could make that all but a pipe dream. No matter, the House has a plan for that too, according to Lamar Alexander, the chairman of the House s health committee: We re going to begin immediately to repeal Obamacare and reconciliation is the only way to do it. And I believe we will have 51 Republican senators or 52 to vote for that. No, Republicans aren t playing politics at all here.Is it really going to be so bad, though? Well, yes, actually, it probably will be. Experts are warning that this  repeal and delay  plan is going to cause massive chaos. Sabrina Corlette, who teaches at the Health Policy Institute at Georgetown, said: The idea that you can repeal the Affordable Care Act with a two- or three-year transition period and not create market chaos is a total fantasy. Insurers need to know the rules of the road in order to develop plans and set premiums. If there are problems, they ll just blame Democrats for stalling, for refusing to play ball, for obstructing, or whatever else they think the public will believe if spoon-fed to them. See? They ve solved everything! Except how to replace the ACA. Their only focus is on repealing right now. It s not likely they re actually thinking beyond being able to brag to the masses that they finally got rid of the ACA.Featured image by Zach Gibson via Getty Images",0
"Trump says he and China's Xi to try to end opioid crisis BEIJING (Reuters) - U.S. President Donald Trump said on Thursday that he and Chinese President Xi Jinping would be focusing “very strongly” on the U.S opioid crisis, which he has declared a public health emergency. Trump said shortly before arriving in Beijing he would discuss as a “top priority” stopping the “flood of cheap and deadly” fentanyl “manufactured in China” when he meets Xi. “Every year drug trafficking destroys millions and millions of lives,” Trump said in Beijing, standing next to Xi at the end of formal talks between the two. “Today President Xi and I discussed ways we can enhance coordination to better counter the deadly drug trade and to stop the lethal flow of poisonous drugs into our countries and into our communities,” he added. “A special emphasis will be placed on the new phenomenon - fentanyl - destroying lives by the millions. We’re going to be focusing on it very strongly, the president and myself,” Trump said, without elaborating. Speaking later to reporters, U.S. Secretary of State Rex Tillerson said Trump and Xi agreed to take new steps. “On the critical issue of opioids, we made some good progress to curb the flow of harmful narcotics into the United States in order to save American lives,” Tillerson said.  “The president committed to taking new actions including agreements to control the export and movement of fentanyl precursors, sharing intelligence on drug trafficking, and exchanging trafficking information,” he added, referring to Xi. China’s drug control agency last week disputed Trump’s claim that most of the synthetic drug fentanyl at the heart of the U.S. opioid crisis was produced in China. Opioids include prescription painkillers, heroin and fentanyl, a highly addictive synthetic drug 50 to 100 times more potent than morphine. The Centers for Disease Control estimated that 20,000 Americans were killed by fentanyl last year, surpassing common painkillers and heroin for the first time. American law enforcement agencies and drug control experts say most of the fentanyl distributed in the United States, as well as precursor chemicals, originate from China. While Chinese officials dispute these claims, Beijing has taken steps to crack down on the production and export of synthetic drugs, and has placed fentanyl and 22 other related compounds on its list of controlled substances.     ",1
"U.S. Senator Flake concerned about tax plan impact on debt WASHINGTON (Reuters) - U.S. Republican Senator Jeff Flake on Thursday expressed concern about the Senate Republican tax proposal’s impact on the national debt. In a statement, Flake did not say how he might vote on the proposal unveiled earlier Thursday. “I remain concerned over how the current tax reform proposals will grow the already staggering national debt by opting for short-term fixes while ignoring long-term problems for taxpayers and the economy,” he said. Both the Senate and House tax cut plans would add about $1.5 trillion to the U.S. national debt over 10 years. Lawmakers should achieve tax reform in a fiscally responsible manner, Flake said, adding that he looked forward to working with his colleagues “to deliver on that goal.”    ",1
" WATCH: Media Critics Tear Megyn Kelly Apart For Spreading Alex Jones ‘Virus’ To Her Viewers (VIDEO) Critics are calling former Fox News host, Megyn Kelly s upcoming interview with the conspiracy theorist and noted lunatic, Alex Jones on her new home at NBC an act of irresponsibility to the public. Or, as the panel of media critics on CNN s Reliable Sources put it, Jones is a virus and Kelly is giving him the opportunity to create a viral outbreak of bullshit political positions. Maureen Ryan, Variety s chief television critic, argued that the context of the interview was a major factor in determining the quality of the programming. She asserts that Jones is certainly worth educating people about but feels the format is all wrong. Ryan explains: I just think the context in which this coverage takes place is really important. If you were telling me that NBC was doing an hour-long documentary on the rise of this kind of disinformation media empires, I would say that s great. This is important to take into consideration, both as a media critique and as a talking point to those who wish to decry the media s admonishment of Kelly and NBC as simply being part of a conspiracy to shut out so-called  truth-tellers  like Jones.  A talking point that is both in vogue with the alt-right and quite lazy, if I am being honest.   I don t think giving Alex Jones 15 or 16 minutes to simply spin his views and to spin his media image is the way in which to attack this,  Ryan went on to add.  Megyn Kelly has not proven herself to be the kind of dogged interviewer that would be able to make a meal of this. Kelly s entire career could be used as a citation for this claim, though Kelly s recent pathetic interview with Russian President Vladimir Putin does a great job of summarizing her consistent failings as a news celebrity (I m incapable of referring to her as a journalist at this point). The show s host, Brian Stelter, mentions one defense of NBC s airing of the interview that came from NBC. The defense, according to Stelter, is that:  terrorists and child molesters and serial killers have been interviewed on television. It s actually quite sad to hear such vapid analysis from a major broadcasting company like NBC, if not surprising. Obviously, there is a defense between the likes of Jones and the rest of the scary cadre of deplorable individuals that are mentioned, those types of people are almost always automatically viewed as illegitimate by audiences. It s hard to imagine Jones on the other hand, as stacking up to these types of criminals. As nutty as Jones is, he sounds sane, if not by much from a left-wing perspective, when compared to a terrorist spokesperson. Stelter goes on to speculate on whether the current political climate is playing a part in people s anger towards Kelly and NBC.: Alex Jones is a virus. There s maybe a fear of spreading that virus more fully on a big network. If it bleeds it ledes,  goes the journalist cliche. While an interview with Jones likely won t lead to blood spilling, it will get people to tune in to view the verbal carnage. This interview is going to be very profitable to NBC. It should be remembered by all, that NBC is a corporation and their obligations are to turn a profit, which even in dark times we are in still appears to trump their obligations as a member of the fourth estate.You can watch the segment below.Featured image from video screenshot",0
"Trump's stop in Vietnam a poignant one for U.S. veterans DANANG, Vietnam (Reuters) - Whether they like President Donald Trump or not, the U.S. veterans who gather at Hoa’s Place in Danang show little concern that he avoided the war that marked their lives. Trump flies into the Vietnamese resort of Danang on Friday for a summit of Asia-Pacific leaders, landing in a city that for many Americans of his generation was their first sight of Vietnam - and of war. “He’ll finally be able to put on his resume that he was in Vietnam,” said David Clark, 68, who is originally from Akron, Ohio and calls Trump “a joke”. After serving in Vietnam from 1968 to 1969 with the Marine Corps, he has now returned to help with projects to address the legacy of the war. Trump never served in the military. He received five deferments during the Vietnam War, including one for bone spurs in his heel, the New York Times reported last year. The paper quoted Trump as saying the bones spurs had been “temporary”.     “Everyone I know tried to avoid it,” said draftee Keith Soukkala, sipping a beer at Hoa’s Place, a favored bar of veterans near Danang’s “China Beach”. “I stayed out as long as I could but I didn’t have any bone spurs,” said Soukkala, who splits his time between Vietnam and Alaska and said he voted for Trump. At 73, he is two years older than Trump and recalls landing in Danang to the humid heat and “a certain smell in the air” at the start of a 13-month tour with the Marine Corps dodging bombs hidden by the communist Viet Cong guerrillas. The seaside resort of Danang has a special place in U.S.-Vietnamese history: it was here that the first U.S. ground troops disembarked in 1965 in the escalation of a war that would last another decade before the communist victory. Close to some of the heaviest fighting in central Vietnam, Danang had a big U.S. air base. China Beach was a relaxation spot for U.S. soldiers back from combat. Now, Danang’s beachfront hotels draw tourists from around the world. Gleaming office towers mark it out as one of Vietnam’s most modern cities and one the communist government sought to showcase with the hosting of the Asia Pacific Economic Cooperation (APEC) summit which Trump will attend. It’s also home to a community of U.S. veterans who returned to a country where a recent Pew Research survey showed the United States was viewed favorably by 84 percent of people. Clark came back in 2013 for a year and is still in Danang, busy with projects to destroy unexploded U.S. bombs and help families affected by the Agent Orange defoliant linked to illness and deformity. Mark O’Connor, 67, of Sioux Falls, South Dakota, and once part of a helicopter assault team, visits as often as he can to provide bicycles to children in hill villages.      On this visit, though, he said he had come back in the hope of seeing Trump - his support unaffected by the fact the president had not served in Vietnam. “You know, more power to him,” he said. “You can’t feel bad about him and not feel bad about everyone who went to Canada to avoid the draft.” ",1
"Trump's son Donald Trump Jr. to meet with House panel Dec. 6: CNN WASHINGTON/NEW YORK (Reuters) - President Donald Trump’s son, Donald Trump Jr., will meet with the U.S. House of Representatives Intelligence Committee next week, CNN reported on Wednesday, citing multiple sources with knowledge of the agreement. Representatives for Representative Mike Conaway, the Republican leading the panel’s investigation of alleged Russian interference in the 2016 election and possible collusion by Trump’s campaign, and Representative Adam Schiff, the panel’s top Democrat, said they could not comment on whether Trump’s eldest son was going to appear before the committee.  Schiff told reporters that he could not comment on when or if Donald Trump Jr. might appear, but described him as a key witness. The younger Trump played a central role in his father’s campaign. “Obviously, when Donald Trump Jr. comes before the committee there are innumerable areas that we’re going to be interested in. It’s hard to find a more central figure in this,” Schiff told reporters at the U.S. Capitol. Schiff also said he thought it would “very likely” be necessary to bring the president’s son-in-law and close adviser, Jared Kushner, to testify again before the intelligence panel. The panel questioned Kushner behind closed doors in July. A lawyer for Donald Trump Jr., Alan Futerfas, did not respond to a request for comment.  CNN said the meeting with lawmakers would be held next Wednesday. The House intelligence panel is one of the three main congressional committees, as well as Justice Department Special Counsel Robert Mueller, investigating the issue. In September, the younger Trump spoke privately with Senate Judiciary Committee staff. The chairman of the Senate Intelligence Committee, Republican Senator Richard Burr, has said his panel planned to interview Donald Trump Jr. in December. Trump’s son, who has denied any wrongdoing, met with a Russian lawyer at Trump Tower in New York in June 2016. Earlier this month, he released exchanges he had with the Twitter account of WikiLeaks, which released emails stolen from Democrats, during the campaign. The House Intelligence Committee will hear on Thursday from Attorney General Jeff Sessions, whose contacts with Russians during the campaign have also come under scrutiny, as well as from Erik Prince, who founded the private military contractor Blackwater and was a supporter of Trump’s presidential campaign. ",1
"House Speaker Ryan says he believes upbeat Treasury tax study WASHINGTON (Reuters) - U.S. House Speaker Paul Ryan on Tuesday defended a one-page analysis by the Treasury Department that asserted a tax plan pushed by the Republican-led Congress would pay for itself in 10 years. “I think that estimate makes a lot of sense. ... I do believe the Treasury when they say that this is going to unleash a lot of economic growth, which will accrue more revenues,” Ryan told reporters. Chuck Schumer, the Senate Democratic leader, called the estimate “fake math” on Monday. ",1
" Watch Malcolm Nance WIPE THE FLOOR With Breitbart Editor In Bill Maher’s Overtime The bright side of the Russian/Trump investigation, if you can find one, is that a lot of political stars are being born. Al Franken, while not a newbie to most, is separating himself from the chaff, as are Adam Schiff, Kamala Harris and a handful of other Democrats. One major rising star, though, isn t a Democrat at all   he s a former counter-intelligence officer. He considers himself a Colin Powell Republican and if he were to run for President, there s little doubt he d be a force to be reckoned with, regardless of party.After Friday night s Overtime with Bill Maher (the part of the show that s on YouTube instead of on TV), Nance confirmed his badass status when he stood up to Breitbart Editor in Chief, Alex Marlow, demanding an apology for a story that ran a few years ago that resulted in death threats to Nance and his family.On the subject of fake news, which Marlow tried to redefine as a liberal invention, Nance said this: There was this article about a 35-year counterterrorism expert who claimed they wanted Trump Tower attacked that was written in Breitbart,  Nance began.  I got 31 death threats and that came from your website you gonna apologize to me? Marlow responded that he respected Nance and his service to the country, but Nance shot back by saying,  Your followers threatened my family, my children, my wife. The Breitbart chief tried turning the tables.  Are you really suggesting that Breitbart doesn t get death threats? That our lives aren t put in danger? Marlow claimed he didn t remember the story, but if Nance would show it to him, he d apologize. Apparently, Marlow hasn t heard of the Google.Nance responded that he will  come to (his) office and see that retraction. Marlow then called Nance, who is incredibly calm,  hysterical,  which seems to be the go-to insult for anyone speaking out against the Trump administration.Here s the video:Featured image via video screenshots",0
